FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
シェークスピアのオフェリヤ**,オフィーリアは、ウィリアム・シェイクスピアの戯曲『ハムレット』の登場人物である。デンマークの若い貴婦人で、ポローニアスの娘、レアティーズの妹、ハムレット王子の妃候補でもある。,『カラマーゾフの兄弟』,,
炯眼**,鋭く光る目や、物事の本質をすばやく見抜く優れた眼力（洞察力）を意味する言葉,『カラマーゾフの兄弟』,,
挿話**,文章や話の間に挟まれる、本筋とは直接関係のない短い話やエピソードのこと,『カラマーゾフの兄弟』,,
放埒**,決まりや節度を守らず、勝手気ままでしまりのない様子や、酒や遊びなどに夢中になって身持ちが悪いこと,『カラマーゾフの兄弟』,,
淫蕩**,酒や色恋の楽しみにおぼれて、行いや態度がみだらでだらしないこと,『カラマーゾフの兄弟』,,
県下一帯**,ある一つの都道府県の全域、またはその広い範囲全体を指す言葉,『カラマーゾフの兄弟』,,
子細**,細かい事情、詳しいこと、または特別な理由や差し支えという意味を持つ言葉,『カラマーゾフの兄弟』,,
出奔**,逃げ出して行方をくらますこと、および江戸時代に武士が主君や家を捨てて姿を消すこと,『カラマーゾフの兄弟』,,
チフス**,高熱や全身症状を特徴とする細菌やリケッチアによる感染症,『カラマーゾフの兄弟』,,
放蕩**,自分の好きなように勝手に行動し、酒飲みや遊びに夢中になってだらしない生活を送ること,『カラマーゾフの兄弟』,,
遊歴**,各地をめぐり歩くこと、または諸国を旅して回ることを意味する言葉,『カラマーゾフの兄弟』,,
地所**,建物を建てるための土地や、財産としての土地・敷地を意味する言葉,『カラマーゾフの兄弟』,,
丁年**,一人前に成長した年齢や満20歳、また一人前の男子を意味する言葉,『カラマーゾフの兄弟』,,
娶った**,男性が女性を妻として迎える（結婚する）という意味の古風な言葉,『カラマーゾフの兄弟』,,
補祭**,キリスト教で司祭や主教をたすける聖職者の役職,『カラマーゾフの兄弟』,,
輪索 をかけ**,ロープや縄で作った輪（輪索）に、何かが引っかかること、あるいは首や体、物がその輪のなかに通って引っかかる状態,『カラマーゾフの兄弟』,,
色香**,色と香り、あでやかな魅力、愛嬌や風情を意味する言葉,『カラマーゾフの兄弟』,,
篤志のかた**,社会奉仕や寄付、ボランティアなどを、誠意を持って熱心に行う人（篤志家）,『カラマーゾフの兄弟』,,
お百度**,強い願いを叶えるため、同じ神社や寺院の入口と本殿の間を100回往復して祈願する日本の伝統的な参拝方法,『カラマーゾフの兄弟』,,
筆耕**,毛筆での賞状や宛名書きなどの代筆業,『カラマーゾフの兄弟』,,
具眼の士**,物事の本質や真の価値を見抜き、是非や善悪を正しく判断する優れた見識を持った人物,『カラマーゾフの兄弟』,,
身持ち**,日常の行いや振る舞い、品行,『カラマーゾフの兄弟』,,
揺籃時代**,物事が始まって間もない発展の初期段階、または幼年期,『カラマーゾフの兄弟』,,
新発意**,新たに仏道に入った人や、出家したばかりの修行者,『カラマーゾフの兄弟』,,
寄進**,神社や寺院などに金銭、土地、物品などを自ら進んで寄付すること,『カラマーゾフの兄弟』,,
ルーテル式**,マルティン・ルターの宗教改革の伝統を受け継ぎ、決まった式次第を用いて行われる伝統的な礼拝の形式,『カラマーゾフの兄弟』,,
弥撒**,主にカトリック教会で行われる、神に祈りを捧げる最も大切な儀式（祭儀）,『カラマーゾフの兄弟』,,
シナイとアトス**,キリスト教正教会における二大聖地・修道生活の重要拠点であるシナイ山とアトス山,『カラマーゾフの兄弟』,,
コンスタンチノープル**,東ローマ帝国（ビザンツ帝国）の首都であり、現在のトルコの都市であるイスタンブールの前身,『カラマーゾフの兄弟』,,
コゼリスク**,ロシアのカルーガ州にある町,『カラマーゾフの兄弟』,,
倨傲**,おごり高ぶって他人を見くだし、いばった態度をとること,『カラマーゾフの兄弟』,,
庵室**,出家した僧侶や尼僧、世を捨てた隠遁者が住む、草ぶき屋根などの質素で小さな家や部屋,『カラマーゾフの兄弟』,,
声望**,世間での高い評判や、名声と人望のこと,『カラマーゾフの兄弟』,,
僧房**,寺院の中で僧侶や尼僧が生活し、寝泊まりする居住空間やその建物,『カラマーゾフの兄弟』,,
日常 坐臥**,座ったり寝たりする日常の生活、または「ふだん・常々」,『カラマーゾフの兄弟』,,
擾乱**,秩序が乱れて騒ぎになること、または大気や物理的状態の均衡が崩れて乱れる現象,『カラマーゾフの兄弟』,,
好事家**,物好き、マニア、風流人。普通の人とは違う趣味や、珍しい物事を深く愛する人,『カラマーゾフの兄弟』,,
爾余**,そのほか、このほか、それ以外を意味する言葉,『カラマーゾフの兄弟』,,
紛擾**,ごたごたともめることや、乱れもつれること,『カラマーゾフの兄弟』,,
よすがには**,心や身を寄せる拠り所や、頼りとする手段・手がかり,『カラマーゾフの兄弟』,,
