FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
Jacqueline,ジャクリーン（Jacqueline）は、英語圏やフランス語圏などの女性名です。最も有名な人物としては、第35代アメリカ合衆国大統領ジョン・F・ケネディの夫人であるジャクリーン・ケネディが挙げられます。,Franz Ferdinand『Franz Ferdinand』,,
matinee,マチネ（matinée）とは、演劇、音楽会、映画、バレエなどの昼の部（昼興行）を意味するフランス語由来の言葉です。対義語（ソワレ）：夜の部（夜行性・夜の公演）は「ソワレ（soirée）」と呼ばれます。,Franz Ferdinand『Franz Ferdinand』,,
Auf Achse,「Auf Achse（アウフ・アクセ）」は、ドイツ語の慣用句で「移動中」「外出中」を意味するほか、有名なボードゲームやロックバンドの楽曲、テレビドラマのタイトルとしても知られています。,Franz Ferdinand『Franz Ferdinand』,,
Darts of Pleasure,「Darts of Pleasure」は、イギリスのロックバンド「フランツ・フェルディナンド」の曲名で、直訳すると「快楽の矢」「喜びのダーツ」を意味します。恋愛や駆け引きにおける刺激、言葉による誘惑や快感を比喩的に表現した言葉です。,Franz Ferdinand『Franz Ferdinand』,,
Neighborhood,（ネイバーフッド）は、「近所」「近隣」「地域」という意味の英単語です。,Arcade Fire『Funeral』,,
Tunnel,「tunnel（トンネル）」とは、山の中や地下、海底などを通る「トンネル」「地下道」「動物の巣穴」という意味の言葉です。名詞だけでなく、動詞として「穴を掘る」「トンネルを掘る」という意味でも使われます。,Arcade Fire『Funeral』,,
Laika,「ライカ」は、地球軌道を周回したはじめての動物とされる雌の犬の名前である。 ソ連の宇宙船スプートニク2号に乗り、1957年11月3日に打ち上げられ、地上1000kmにおよぶ軌道を周回することに、地球の動物としてははじめて成功した。,Arcade Fire『Funeral』,,
Une année sans lumière,「Une année sans lumière」は、フランス語で「光のない1年」を意味し、カナダのロックバンド、アーケイド・ファイアの楽曲名としても知られています。,Arcade Fire『Funeral』,,
Kettle,「kettle（ケトル）」とは、日本語で「やかん」や「湯沸かし用の容器」を意味する英語です。主に、コンロの上で水をお湯にする道具や、電気の力でお湯を沸かす「電気ケトル」を指します。,Arcade Fire『Funeral』,,
crown,crown（クラウン）とは、英語で「王冠」「頂点」「歯のかぶせ物」などを意味する言葉です。,Arcade Fire『Funeral』,,
